Categoría,Pregunta,Opción 1,Opción 2,Opción 3,Opción 4,0
Entretenimiento,"¿Quién dirigió la película 'Titanic'?" ,Steven Spielberg,James Cameron,Christopher Nolan,Martin Scorsese,1
Entretenimiento,"¿Qué banda lanzó el álbum 'Abbey Road' en 1969?" ,The Rolling Stones,Pink Floyd,The Beatles,The Who,2
Entretenimiento,"¿Cuál es el nombre real de la cantante Lady Gaga?",Stefani Germanotta,Britney Spears,Katy Perry,Selena Gomez,0
Entretenimiento,"¿Qué serie de televisión presenta a un químico convertido en fabricante de metanfetaminas?",Breaking Bad,The Wire,Mad Men,Dexter,0
Entretenimiento,"¿Quién escribió la serie de libros 'Harry Potter'?",Suzanne Collins,J.R.R. Tolkien,George R.R. Martin,J.K. Rowling,3
Entretenimiento,"¿Cuál es el videojuego más vendido de todos los tiempos?",Grand Theft Auto V,Minecraft,The Legend of Zelda,Super Mario Bros,1
Entretenimiento,"¿Quién es conocido como 'El Rey del Pop'?",Michael Jackson,Elvis Presley,Prince,Justin Timberlake,0
Entretenimiento,"¿Cuál película ganó el Oscar a Mejor Película en 2020?",Joker,1917,Parasite,Once Upon a Time in Hollywood,2
Entretenimiento,"¿Qué actriz interpretó a Katniss Everdeen en 'Los Juegos del Hambre'?",Kristen Stewart,Emma Watson,Scarlett Johansson,Jennifer Lawrence,3
Entretenimiento,"¿Qué famoso cantante lanzó el álbum 'Thriller'?",David Bowie,Prince,Michael Jackson,Madonna,2
Entretenimiento,"¿Qué serie de televisión es conocida por la frase 'Winter is coming'?",Game of Thrones,Vikings,The Witcher,The Crown,0
Entretenimiento,"¿Quién es el autor de la novela 'Cien años de soledad'?",Mario Vargas Llosa,Gabriel García Márquez,Isabel Allende,Julio Cortázar,1
Entretenimiento,"¿Qué película de Disney presenta a una princesa llamada Moana?",Moana,Frozen,Brave,Tangled,0
Entretenimiento,"¿Qué banda británica es conocida por el álbum 'The Dark Side of the Moon'?",Queen,The Beatles,Pink Floyd,Led Zeppelin,2
Entretenimiento,"¿Qué actor interpretó a Jack Dawson en 'Titanic'?",Johnny Depp,Brad Pitt,Leonardo DiCaprio,Tom Cruise,2
Entretenimiento,"¿Quién creó el universo cinematográfico de Marvel?",Kevin Feige,Joss Whedon,Jon Favreau,James Gunn,0
Entretenimiento,"¿Qué serie de televisión sigue la vida de los empleados de Dunder Mifflin?",Parks and Recreation,Brooklyn Nine-Nine,Friends,The Office,3
Entretenimiento,"¿Qué película de Pixar cuenta la historia de un robot llamado Wall-E?",Up,Toy Story,Wall-E,Finding Nemo,2
Entretenimiento,"¿Quién interpretó a Iron Man en las películas de Marvel?",Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth,0
Entretenimiento,"¿Qué serie de televisión es conocida por el grupo de amigos que viven en Nueva York?",Seinfeld,How I Met Your Mother,The Big Bang Theory,Friends,3
Entretenimiento,"¿Qué cantante es conocida como 'La Reina del Pop'?",Lady Gaga,Madonna,Beyoncé,Rihanna,1
Entretenimiento,"¿Cuál es el nombre del dragón en 'Cómo entrenar a tu dragón'?",Smaug,Drogon,Toothless,Falkor,2
Entretenimiento,"¿Qué película animada de Disney presenta a un ciervo llamado Bambi?",Dumbo,El Rey León,Bambi,La Dama y el Vagabundo,2
Entretenimiento,"¿Qué videojuego presenta a un fontanero llamado Mario?",Super Mario Bros,Sonic the Hedgehog,Donkey Kong,Pac-Man,0
Entretenimiento,"¿Quién dirigió la película 'Pulp Fiction'?",Martin Scorsese,Francis Ford Coppola,Steven Spielberg,Quentin Tarantino,3
Ciencia,"¿Cuál es el elemento más abundante en el universo?",Oxígeno,Carbono,Nitrógeno,Hidrógeno,3
Ciencia,"¿Qué planeta es conocido como el 'Planeta Rojo'?",Marte,Júpiter,Saturno,Venus,0
Ciencia,"¿Cuál es la fórmula química del agua?",CO2,O2,H2O,NaCl,2
Ciencia,"¿Qué partícula subatómica tiene carga negativa?",Protón,Electrón,Neutrón,Positrón,0
Ciencia,"¿Qué teoría explica el origen del universo?",Big Bang,Teoría de la Evolución,Relatividad,Mecánica Cuántica,0
Ciencia,"¿Quién es conocido como el padre de la física moderna?",Isaac Newton,Galileo Galilei,Niels Bohr,Albert Einstein,3
Ciencia,"¿Cuál es el órgano más grande del cuerpo humano?",El corazón,El hígado,La piel,El cerebro,2
Ciencia,"¿Qué gas es esencial para la respiración humana?",Oxígeno,Nitrógeno,Dióxido de Carbono,Hidrógeno,0
Ciencia,"¿Qué científico propuso la teoría de la evolución por selección natural?",Charles Darwin,Gregor Mendel,Louis Pasteur,James Watson,0
Ciencia,"¿Cuál es la distancia promedio entre la Tierra y el Sol?",100 millones de kilómetros,200 millones de kilómetros,150 millones de kilómetros,50 millones de kilómetros,2
Ciencia,"¿Qué planeta tiene los anillos más prominentes?",Júpiter,Saturno,Urano,Neptuno,1
